Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,30110,,,,30110,,175194,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,308,Grenada,GRD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1064,,,,1064,,2811,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,320,Guatemala,GTM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,4833,,,,4833,,17157,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,324,Guinea,GIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1291,,,,1291,,11609,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,332,Haiti,HTI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,469,,,,469,,2626,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,340,Honduras,HND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1491,,,,1491,,5369,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,7,,,,7,,1716,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,390158,,,,390158,,2785051,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,35602,,,,35602,,124396,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,352,Iceland,ISL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,42868,,,,42868,,260222,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,26728,,,,26728,,93666,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,16792,,,,16792,,69809,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,632392,,,,632392,,3512720,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9,,,,9,,305,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,36785,,,,36785,,168949,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,6205527,,,,6205527,,12059588,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,4145157,,,,4145157,,9155010,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,384,Côte d'Ivoire,CIV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,23928,,,,23928,,97118,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1469943,,,,1469943,,7475052,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,398,Kazakhstan,KAZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2873,,,,2873,,17213,,,2
